"Intent","Mechanism","Sex","Age Group","Estimated Number","Population","Crude Rate","Age-Adjusted Rate"
"Unintentional (Includes undetermined)","Bite: Dog","Males","0 to 4","18,417","9,459,399","194.70","--"
"Unintentional (Includes undetermined)","Bite: Dog","Males","5 to 9","19,768","10,304,720","191.84","--"
"Unintentional (Includes undetermined)","Bite: Dog","Males","10 to 14","17,248","10,667,918","161.68","--"
"Unintentional (Includes undetermined)","Bite: Dog","Males","15 to 19","12,119","11,296,635","107.28","--"
"Unintentional (Includes undetermined)","Bite: Dog","Males","20 to 24","16,772","11,126,811","150.74","--"
"Unintentional (Includes undetermined)","Bite: Dog","Males","25 to 29","17,952","11,175,898","160.63","--"
"Unintentional (Includes undetermined)","Bite: Dog","Males","30 to 34","17,448","11,883,289","146.83","--"
"Unintentional (Includes undetermined)","Bite: Dog","Males","35 to 39","13,406","11,364,080","117.97","--"
"Unintentional (Includes undetermined)","Bite: Dog","Males","40 to 44","14,465","10,998,156","131.52","--"
"Unintentional (Includes undetermined)","Bite: Dog","Males","45 to 49","9,132","9,886,355","92.37","--"
"Unintentional (Includes undetermined)","Bite: Dog","Males","50 to 54","9,920","10,300,754","96.31","--"
"Unintentional (Includes undetermined)","Bite: Dog","Males","55 to 59","9,254","10,166,391","91.03","--"
"Unintentional (Includes undetermined)","Bite: Dog","Males","60 to 64","9,436","10,337,454","91.28","--"
"Unintentional (Includes undetermined)","Bite: Dog","Males","65 to 69","7,117","9,125,260","77.99","--"
"Unintentional (Includes undetermined)","Bite: Dog","Males","70 to 74","3,655","7,209,820","50.70","--"
"Unintentional (Includes undetermined)","Bite: Dog","Males","75 to 79","2,358","5,166,023","45.64","--"
"Unintentional (Includes undetermined)","Bite: Dog","Males","80 to 84","1,722","2,996,476","57.47","--"
"Unintentional (Includes undetermined)","Bite: Dog","Males","85+","--","2,283,961","--","--"
"Unintentional (Includes undetermined)","Bite: Dog","Males","Unknown","--","--","--","--"
"Unintentional (Includes undetermined)","Bite: Dog","Females","0 to 4","14,235","9,051,761","157.26","--"
"Unintentional (Includes undetermined)","Bite: Dog","Females","5 to 9","16,992","9,848,037","172.54","--"
"Unintentional (Includes undetermined)","Bite: Dog","Females","10 to 14","12,287","10,166,646","120.86","--"
"Unintentional (Includes undetermined)","Bite: Dog","Females","15 to 19","12,720","10,778,845","118.01","--"
"Unintentional (Includes undetermined)","Bite: Dog","Females","20 to 24","17,243","10,684,361","161.38","--"
"Unintentional (Includes undetermined)","Bite: Dog","Females","25 to 29","17,239","10,842,462","159.00","--"
"Unintentional (Includes undetermined)","Bite: Dog","Females","30 to 34","14,654","11,640,867","125.88","--"
"Unintentional (Includes undetermined)","Bite: Dog","Females","35 to 39","14,299","11,142,564","128.33","--"
"Unintentional (Includes undetermined)","Bite: Dog","Females","40 to 44","13,362","10,885,893","122.74","--"
"Unintentional (Includes undetermined)","Bite: Dog","Females","45 to 49","12,455","9,930,655","125.42","--"
"Unintentional (Includes undetermined)","Bite: Dog","Females","50 to 54","11,492","10,376,017","110.76","--"
"Unintentional (Includes undetermined)","Bite: Dog","Females","55 to 59","12,186","10,439,866","116.72","--"
"Unintentional (Includes undetermined)","Bite: Dog","Females","60 to 64","10,716","10,910,700","98.22","--"
"Unintentional (Includes undetermined)","Bite: Dog","Females","65 to 69","7,811","10,025,468","77.92","--"
"Unintentional (Includes undetermined)","Bite: Dog","Females","70 to 74","6,191","8,324,736","74.37","--"
"Unintentional (Includes undetermined)","Bite: Dog","Females","75 to 79","4,091","6,221,394","65.76","--"
"Unintentional (Includes undetermined)","Bite: Dog","Females","80 to 84","2,736","3,984,204","68.66","--"
"Unintentional (Includes undetermined)","Bite: Dog","Females","85+","1,323","3,911,019","33.82","--"
"Unintentional (Includes undetermined)","Bite: Dog","Females","Unknown","--","--","--","--"
"Unintentional (Includes undetermined)","Bite: Dog","Unknown","20 to 24","--","--","--","--"
"Unintentional (Includes undetermined)","Bite: Dog","Unknown","25 to 29","--","--","--","--"
"Unintentional (Includes undetermined)","Bite: Dog","Unknown","30 to 34","--","--","--","--"
